CODE_INSEE;COMMUNE;ANNEE;GARCONS;FILLES;INDETERMINE;LIEU_DOMICILE;LIEU_MATERNITE;LIEU_HOPITAL;LIEU_AUTRES;QJ_PARENTS_MARIES;QJ_SANS_FILIATION;QJ_NON_RECONNU;QJ_RECONNU_PERE;QJ_RECONNU_MERE;QJ_RECONNU_LESDEUX;QJ_INCONNUE;QJ_RECO PMA;DP_RENNES;DP_EXTERIEUR;DP_SANS_PARENTS;DC_DECLA_CONJOINTE;REC_AVNAISS_PERE;REC_AVNAISS_MERE;REC_AVNAISS_LESDEUX;REC_APNAISS_PERE;REC_APNAISS_MERE;REC_APNAISS_LESDEUX;REC_APVIE_PERE
35238;Rennes;1986;3897;3661;0;6;6286.0;753;513;5699;3;0;0;75;411;1370;;2803;4755;0;;;;;;;;
35238;Rennes;1994;3713;3500;0;0;551.0;9;6653;989;0;2;0;14;101;6107;;2712;4501;0;;;;;;;;
35238;Rennes;2001;4432;4325;0;0;8589.0;155;13;6189;12;661;32;94;1758;11;;2614;6143;0;;72;116;832;219;230;448;
35238;Rennes;2007;3237;3150;1;10;6355.0;3;20;3068;4;757;1486;64;995;14;;1941;4447;0;900;958;54;16;170;1;0;
35238;Rennes;2010;3667;3416;0;11;7059.0;0;13;3007;3;737;2435;58;832;11;;2176;4907;0;1067;1140;59;59;137;2;0;
35238;Rennes;2015;3595;3478;0;17;7043.0;1;13;2559;5;829;2813;45;818;4;;2220;4853;0;1022;1160;44;36;148;2;0;
35238;Rennes;2024;3744;3577;0;16;7295.0;2;8;2266;5;1075;3149;22;773;0;29;2226;5092;5;1559;1162;9;0;136;0;0;1.0
35238;Rennes;1988;3838;3672;0;0;494.0;24;6992;733;1;0;1;18;116;6641;;2981;4529;0;;;;;;;;
35238;Rennes;1990;3736;3620;0;0;559.0;13;6784;841;0;1;0;18;97;6399;;2842;4514;0;;;;;;;;
35238;Rennes;1992;3765;3610;0;0;463.0;14;6898;908;0;0;1;13;129;6324;;2813;4562;0;;;;;;;;
35238;Rennes;1997;4019;3787;0;3;7786.0;2;15;6102;13;378;18;95;1178;22;;2574;5232;0;;48;103;795;200;179;358;
35238;Rennes;2008;3450;3211;0;17;6626.0;4;14;3128;3;866;1702;49;905;8;;2046;4615;0;1038;934;39;41;134;2;0;
35238;Rennes;2012;3829;3586;0;16;7385.0;1;13;2913;3;843;2731;61;851;13;;2335;5080;0;1131;1098;60;72;152;1;1;
35238;Rennes;2013;3847;3590;0;11;7416.0;0;10;2907;3;888;2678;71;884;6;;2250;5187;0;1078;1139;61;59;131;1;1;
35238;Rennes;2021;3847;3723;0;32;7528.0;0;9;2374;0;1160;3180;31;824;0;;2307;5262;0;1426;1110;10;1;150;1;0;
35238;Rennes;1991;3899;3558;1;0;530.0;10;6918;860;0;0;0;11;118;6469;;2872;4586;0;;;;;;;;
35238;Rennes;1995;3922;3620;0;0;586.0;8;6948;1162;0;2;1;17;99;6261;;2609;4933;0;;;;;;;;
35238;Rennes;1996;4124;3754;0;2;7846.0;16;14;6241;10;137;5;166;1298;21;;2626;5252;0;;44;105;755;200;199;307;
35238;Rennes;2003;4495;4246;0;2;8727.0;3;9;5709;7;688;34;111;2183;9;;2565;6176;0;;74;112;878;236;299;352;
